structural_source,policy,n_decided,n_correct,conditional_accuracy,wilson_ci_low,wilson_ci_high,chance_accuracy,observed_minus_chance,descriptive_exact_binomial_p_two_sided,p_value_role
GT,DIRECT,23,13,0.5652173913043478,0.36811375085016473,0.7436536467432578,0.5,0.06521739130434778,0.6776394844055176,descriptive_only_not_central
GT,PATH,18,5,0.2777777777777778,0.12499753379553999,0.5087265656029745,0.5,-0.2222222222222222,0.09625244140625,descriptive_only_not_central
METHOD_D,DIRECT,13,6,0.46153846153846156,0.23206067809538308,0.7085620428549398,0.5,-0.038461538461538436,1.0,descriptive_only_not_central
METHOD_D,PATH,22,5,0.22727272727272727,0.10123039985248514,0.4343995317522171,0.5,-0.2727272727272727,0.01690053939819336,descriptive_only_not_central
