benchmark,n,tau_min,tau_max,mean_abs_tau,std_tau_ddof0,zero_predictor_rmse,zero_predictor_mae,b2a_mae,b2a_rmse,b2a_nmae,b2a_nrmse,interpretation_boundary
LOCAL_NEURIPS_DEVELOPMENT,50,-0.32392533644581456,0.29968710209605604,0.07909978743599963,0.11978031510263712,0.12002691080378507,0.07909978743599963,0.06565230109349515,0.09377601112599404,0.8299933946929382,0.7829000203050012,descriptive_scale_audit_not_new_primary_metric_no_cross_benchmark_better_claim
EXTERNAL_SYNTHETIC,240,-0.198547804841654,0.20624594245246847,0.03857631393318972,0.06914002228414177,0.06958117000245359,0.03857631393318972,0.01485313835741137,0.019287765017673184,0.38503259754510255,0.278966716822958,descriptive_scale_audit_not_new_primary_metric_no_cross_benchmark_better_claim
