environment_id,total_queries,exact_zero_count,nonzero_count,zero_proportion,nonzero_proportion,mean_abs_tau_gt,median_abs_tau_gt
EXT0,40,33,7,0.825,0.175,0.024210369261826292,0.0
EXT1,40,34,6,0.85,0.15,0.019785172442949008,0.0
EXT2,40,23,17,0.575,0.425,0.04490441761542422,0.0
EXT3,40,37,3,0.925,0.075,0.00942827767693453,0.0
EXT4,40,31,9,0.775,0.225,0.027213175126709267,0.0
EXT5,40,0,40,0.0,1.0,0.10591647147529501,0.10755343584364549
