dataset_id,ranking_score,candidate_rule,graph_rule,frozen_k,rule_frozen_before_decision_experiment,learned_edge_count,gt_edge_count,learned_edge_density_directed_no_self,gt_edge_density_directed_no_self,adjacency_precision,adjacency_recall,adjacency_f1,orientation_precision,orientation_recall,orientation_f1,shd,shd_note,structural_prediction_status,continuous_score_reconstruction
0,"E[X(t+2,j)-X(t,j)|A(t)=i]-E[X(t+2,j)-X(t,j)]",stronger_direction_per_unordered_pair_and_score_gt_0,descending_score_greedy_DAG_until_environment_specific_K,75,True,75,610,0.030612244897959183,0.24897959183673468,0.9466666666666667,0.11639344262295082,0.20729927007299268,0.8933333333333333,0.10983606557377049,0.19562043795620437,,not_computed_in_existing_task1_benchmark,in_environment_Task1_full_training_data_but_Task2_query_independent_not_out_of_sample,exact_reconstruction_validated_against_all_775_canonical_edges
1,"E[X(t+2,j)-X(t,j)|A(t)=i]-E[X(t+2,j)-X(t,j)]",stronger_direction_per_unordered_pair_and_score_gt_0,descending_score_greedy_DAG_until_environment_specific_K,150,True,150,631,0.061224489795918366,0.25755102040816324,0.9,0.21394611727416799,0.34571062740076824,0.8933333333333333,0.21236133122028525,0.34314980793854033,,not_computed_in_existing_task1_benchmark,in_environment_Task1_full_training_data_but_Task2_query_independent_not_out_of_sample,exact_reconstruction_validated_against_all_775_canonical_edges
2,"E[X(t+2,j)-X(t,j)|A(t)=i]-E[X(t+2,j)-X(t,j)]",stronger_direction_per_unordered_pair_and_score_gt_0,descending_score_greedy_DAG_until_environment_specific_K,200,True,200,594,0.08163265306122448,0.24244897959183673,0.93,0.31313131313131315,0.46851385390428213,0.89,0.2996632996632997,0.4483627204030227,,not_computed_in_existing_task1_benchmark,in_environment_Task1_full_training_data_but_Task2_query_independent_not_out_of_sample,exact_reconstruction_validated_against_all_775_canonical_edges
3,"E[X(t+2,j)-X(t,j)|A(t)=i]-E[X(t+2,j)-X(t,j)]",stronger_direction_per_unordered_pair_and_score_gt_0,descending_score_greedy_DAG_until_environment_specific_K,150,True,150,599,0.061224489795918366,0.24448979591836734,0.9666666666666667,0.24207011686143573,0.38718291054739656,0.9333333333333333,0.2337228714524207,0.3738317757009346,,not_computed_in_existing_task1_benchmark,in_environment_Task1_full_training_data_but_Task2_query_independent_not_out_of_sample,exact_reconstruction_validated_against_all_775_canonical_edges
4,"E[X(t+2,j)-X(t,j)|A(t)=i]-E[X(t+2,j)-X(t,j)]",stronger_direction_per_unordered_pair_and_score_gt_0,descending_score_greedy_DAG_until_environment_specific_K,200,True,200,622,0.08163265306122448,0.25387755102040815,0.955,0.3070739549839228,0.46472019464720193,0.935,0.30064308681672025,0.45498783454987834,,not_computed_in_existing_task1_benchmark,in_environment_Task1_full_training_data_but_Task2_query_independent_not_out_of_sample,exact_reconstruction_validated_against_all_775_canonical_edges
