environment_id,n_queries,exact_zero_count,nonzero_count,zero_proportion,mean_abs_tau_gt,mae,rmse,pearson,spearman
EXT0,40,33,7,0.825,0.0242103692618262,0.010389795796404,0.0129717087037483,0.9832227630336092,0.6623059381602482
EXT1,40,34,6,0.85,0.019785172442949,0.0142181272633693,0.0175095331157491,0.9547051504997236,0.6213071012561298
EXT2,40,23,17,0.575,0.0449044176154242,0.0164387834600699,0.0199212997865239,0.9699924159388124,0.8679721636336934
EXT3,40,37,3,0.925,0.0094282776769345,0.0127945048917227,0.0187131326554918,0.9016577505014652,0.4567607623212043
EXT4,40,31,9,0.775,0.0272131751267092,0.0196036742136419,0.0250911697423624,0.9235699842092774,0.6683773023482537
EXT5,40,0,40,0.0,0.105916471475295,0.0156739445192602,0.0195103044986183,0.9840659900243832,0.930018761726079
